ID_Proyek,Jenis_Proyek,Lokasi,Nama_Proyek,Tanggal_Mulai,Tanggal_Selesai,Anggaran,Kontraktor
CN-0198-2023,Jembatan,Medan,Pembuatan Jembatan Medan,04/06/2023,13/08/2023,"846,453,122.00",PT D
CN-0199-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,04/06/2023,04/08/2023,"203,965,243.00",PT D
CN-0200-2023,Flyover,Bau-Bau,Perbaikan Flyover Bau-Bau,04/06/2023,04/04/2024,"10,119,728,525.00",PT B
CN-0201-2023,Flyover,Makassar,Pembuatan Flyover Makassar,05/06/2023,28/04/2024,"4,915,550,556.00",PT A
CN-0202-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,07/06/2023,12/01/2024,"490,931,117.00",CV Sihombing
CN-0203-2023,Drainase,Bandung,Perbaikan Drainase Bandung,07/06/2023,28/03/2024,"345,656,676.00",CV Sihombing
CN-0204-2023,Flyover,Bau-Bau,Perbaikan Flyover Bau-Bau,11/06/2023,20/04/2024,"2,994,383,941.00",PT B
CN-0205-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,11/06/2023,29/11/2023,"6,364,217,108.00",PT D
CN-0206-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,13/06/2023,30/08/2023,"3,757,150,419.00",PT A
CN-0207-2023,Jembatan,Medan,Pembuatan Jembatan Medan,13/06/2023,21/10/2023,"4,655,083,177.00",PT B
CN-0208-2023,Drainase,Bandung,Perbaikan Drainase Bandung,14/06/2023,14/06/2023,"612,637,613.00",PT B
CN-0209-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,16/06/2023,13/05/2024,"765,288,058.00",CV Sihombing
CN-0210-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,16/06/2023,15/02/2024,"996,933,795.00",PT D
CN-0212-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,16/06/2023,01/04/2024,"6,951,220,052.00",CV Sihombing
CN-0214-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,19/06/2023,16/05/2024,"1,258,024,298.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0215-2023,Drainase,Makassar,Perbaikan Drainase Makassar,19/06/2023,30/09/2023,"375,761,303.00",PT A
CN-0216-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,20/06/2023,22/07/2023,"6,540,978,129.00",PT D
CN-0217-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,21/06/2023,04/08/2023,"342,017,973.00",PT.  Yuniar Hakim Tbk
CN-0218-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,21/06/2023,01/01/2024,"4,806,164,886.00",PT.  Yuniar Hakim Tbk
CN-0219-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,22/06/2023,03/04/2024,"9,209,856,007.00",PT A
CN-0220-2023,Drainase,Makassar,Perbaikan Drainase Makassar,22/06/2023,16/08/2023,"269,400,319.00",CV Sihombing
CN-0221-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,22/06/2023,15/11/2023,"3,098,986,860.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0222-2023,Jembatan,Surabaya,Perbaikan Jembatan Surabaya,22/06/2023,24/11/2023,"2,873,619,122.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0223-2023,Drainase,Depok,Perbaikan Drainase Depok,24/06/2023,31/07/2023,"735,575,459.00",PT.  Yuniar Hakim Tbk
CN-0224-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,24/06/2023,24/03/2024,"2,354,261,081.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0225-2023,Jembatan,Medan,Pembuatan Jembatan Medan,25/06/2023,02/02/2024,"2,697,497,947.00",PT A
CN-0226-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,26/06/2023,22/04/2023,"277,801,695.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0227-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,27/06/2023,26/09/2023,"5,365,371,920.00",PT.  Yuniar Hakim Tbk
CN-0228-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,29/06/2023,06/08/2023,"737,701,834.00",PT A
CN-0230-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,30/06/2023,22/10/2023,"343,573,944.00",PT D
CN-0231-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,04/07/2023,11/09/2023,"802,980,870.00",PT B
CN-0232-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,06/07/2023,23/11/2023,"1,132,821,017.00",PT D
CN-0233-2023,Drainase,Depok,Perbaikan Drainase Depok,07/07/2023,18/08/2023,"646,267,645.00",PT A
CN-0234-2023,Jembatan,Tomohon,Pembuatan Jembatan Tomohon,08/07/2023,07/08/2023,"1,091,849,633.00",PT C
CN-0235-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,09/07/2023,20/08/2023,"969,437,655.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0236-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,09/07/2023,28/02/2024,"3,165,392,319.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0237-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,10/07/2023,18/08/2023,"5,204,534,546.00",PT.  Yuniar Hakim Tbk
CN-0238-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,11/07/2023,28/12/2023,"3,942,664,693.00",PT A
CN-0239-2023,Flyover,Makassar,Pembuatan Flyover Makassar,11/07/2023,26/11/2023,"1,996,986,704.00",PT C
CN-0240-2023,Jembatan,Jakarta,Perbaikan Jembatan Jakarta,11/07/2023,12/04/2024,"1,005,719,572.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0241-2023,Flyover,Makassar,Perbaikan Flyover Makassar,11/07/2023,11/09/2023,"4,155,376,448.00",PT D
CN-0242-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,11/07/2023,09/06/2024,"6,519,755,129.00",PT B
CN-0243-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,12/07/2023,15/05/2024,"509,824,821.00",PT C
CN-0245-2023,Flyover,Medan,Pembuatan Flyover Medan,13/07/2023,24/10/2023,"2,236,844,121.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0246-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,14/07/2023,07/09/2023,"369,427,315.00",PT.  Yuniar Hakim Tbk
CN-0247-2023,Jembatan,Depok,Perbaikan Jembatan Depok,14/07/2023,23/08/2023,"3,688,243,132.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0248-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,16/07/2023,24/01/2024,"381,166,441.00",PT C
CN-0250-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,17/07/2023,28/11/2023,"283,236,486.00",CV Sihombing
CN-0251-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,17/07/2023,09/12/2023,"288,462,185.00",PT B
CN-0252-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,18/07/2023,07/05/2024,"706,008,565.00",PT C
CN-0253-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,18/07/2023,26/01/2024,"3,442,468,253.00",PT C
CN-0254-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,18/07/2023,19/09/2023,"2,233,995,238.00",PT B
CN-0255-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,18/07/2023,17/12/2023,"579,386,663.00",PT B
CN-0256-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,18/07/2023,05/02/2024,"2,892,512,480.00",PT B
CN-0257-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,19/07/2023,18/09/2023,"1,731,360,253.00",PT.  Yuniar Hakim Tbk
CN-0258-2023,Flyover,Bandung,Pembuatan Flyover Bandung,21/07/2023,05/10/2023,"4,702,380,798.00",PT C
CN-0259-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,21/07/2023,15/12/2023,"1,321,857,853.00",CV Sihombing
CN-0260-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,21/07/2023,19/09/2023,"4,256,914,338.00",PT B
CN-0261-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,21/07/2023,19/07/2024,"202,438,902.00",PT C
CN-0262-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,22/07/2023,04/12/2023,"7,153,815,573.00",CV Sihombing
CN-0263-2023,Flyover,Depok,Pembuatan Flyover Depok,22/07/2023,25/12/2023,"2,210,232,440.00",PT.  Yuniar Hakim Tbk
CN-0264-2023,Jembatan,Medan,Perbaikan Jembatan Medan,22/07/2023,19/01/2023,"2,045,004,222.00",PT B
CN-0265-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,23/07/2023,02/06/2024,"607,111,213.00",PT.  Yuniar Hakim Tbk
CN-0266-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,23/07/2023,25/04/2024,"378,250,495.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0268-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,23/07/2023,22/06/2024,"4,178,594,822.00",PT.  Yuniar Hakim Tbk
CN-0269-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,24/07/2023,29/10/2023,"660,225,526.00",PT C
CN-0270-2023,Jembatan,Depok,Pembuatan Jembatan Depok,24/07/2023,29/04/2024,"6,255,723,631.00",PT C
CN-0271-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,24/07/2023,11/12/2023,"1,935,087,556.00",CV Sihombing
CN-0272-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,26/07/2023,02/04/2024,"6,639,282,641.00",PT A
CN-0273-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,26/07/2023,17/05/2024,"1,341,304,566.00",PT B
CN-0274-2023,Jembatan,Medan,Pembuatan Jembatan Medan,28/07/2023,30/08/2023,"1,482,129,947.00",PT D
CN-0275-2023,Jembatan,Medan,Pembuatan Jembatan Medan,28/07/2023,10/11/2023,"5,134,610,940.00",CV Sihombing
CN-0276-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,28/07/2023,06/03/2024,"344,333,067.00",PT C
CN-0277-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,29/07/2023,08/09/2023,"2,347,619,310.00",PT D
CN-0278-2023,Flyover,Tomohon,Perbaikan Flyover Tomohon,29/07/2023,29/03/2024,"2,422,397,660.00",PT A
CN-0279-2023,Drainase,Bandung,Perbaikan Drainase Bandung,30/07/2023,15/01/2024,"593,562,614.00",CV Sihombing
CN-0280-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,30/07/2023,18/11/2023,"3,507,077,254.00",PT A
CN-0281-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,31/07/2023,03/06/2024,"7,830,031,020.00",PT.  Yuniar Hakim Tbk
CN-0283-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,02/08/2023,13/06/2023,"8,403,683,934.00",PT D
CN-0284-2023,Flyover,Bandung,Perbaikan Flyover Bandung,02/08/2023,30/06/2024,"4,381,657,926.00",PT.  Yuniar Hakim Tbk
CN-0285-2023,Jembatan,Medan,Pembuatan Jembatan Medan,02/08/2023,14/07/2024,"1,717,899,076.00",CV Sihombing
CN-0286-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,05/08/2023,02/10/2023,"231,308,784.00",PT C
CN-0287-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,05/08/2023,24/11/2023,"1,694,502,492.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0288-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,06/08/2023,16/10/2023,"6,044,403,214.00",PT C
CN-0290-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,07/08/2023,15/04/2024,"873,718,114.00",CV Sihombing
CN-0291-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,09/08/2023,21/02/2024,"230,467,768.00",PT B
CN-0292-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,10/08/2023,29/11/2023,"688,191,398.00",CV Sihombing
CN-0293-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,11/08/2023,25/12/2023,"2,697,606,072.00",CV Sihombing
CN-0294-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,13/08/2023,20/01/2024,"990,744,889.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0295-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,15/08/2023,20/02/2024,"3,212,613,392.00",PT A
CN-0296-2023,Jembatan,Makassar,Pembuatan Jembatan Makassar,16/08/2023,20/01/2024,"843,044,899.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0298-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,17/08/2023,31/03/2024,"8,993,425,036.00",PT D
CN-0299-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,19/08/2023,23/10/2023,"4,764,842,863.00",PT A
CN-0301-2023,Flyover,Makassar,Pembuatan Flyover Makassar,20/08/2023,24/12/2023,"2,466,228,274.00",PT.  Yuniar Hakim Tbk
CN-0302-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,21/08/2023,27/03/2024,"3,270,114,898.00",PT D
CN-0303-2023,Flyover,Depok,Perbaikan Flyover Depok,21/08/2023,12/12/2023,"2,841,617,618.00",PT D
CN-0307-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,23/08/2023,30/09/2023,"647,397,365.00",PT D
CN-0308-2023,Jembatan,Depok,Perbaikan Jembatan Depok,23/08/2023,23/06/2023,"775,460,621.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0309-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,24/08/2023,12/08/2024,"7,165,201,683.00",CV Sihombing
CN-0311-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,25/08/2023,20/10/2023,"4,732,793,482.00",PT B
CN-0312-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,25/08/2023,28/11/2023,"2,993,133,974.00",PT B
CN-0313-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,26/08/2023,13/06/2024,"4,720,470,438.00",PT C
CN-0314-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,29/08/2023,10/06/2024,"3,999,421,618.00",PT B
CN-0315-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,30/08/2023,07/08/2024,"1,118,159,098.00",PT A
CN-0317-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,30/08/2023,06/11/2023,"246,997,207.00",PT D
CN-0318-2023,Flyover,Bandung,Perbaikan Flyover Bandung,31/08/2023,01/10/2023,"4,163,473,786.00",PT C
CN-0319-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,31/08/2023,07/12/2023,"2,007,900,262.00",PT.  Yuniar Hakim Tbk
CN-0320-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,01/09/2023,11/06/2024,"9,921,498,760.00",PT D
CN-0321-2023,Flyover,Bandung,Perbaikan Flyover Bandung,02/09/2023,28/12/2023,"2,562,733,310.00",PT B
CN-0322-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,03/09/2023,23/05/2024,"894,294,565.00",PT D
CN-0323-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,04/09/2023,18/02/2024,"661,378,979.00",PT.  Yuniar Hakim Tbk
CN-0325-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,08/09/2023,04/07/2024,"609,956,841.00",PT B
CN-0326-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,09/09/2023,06/06/2024,"4,372,183,615.00",PT D
CN-0327-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,09/09/2023,05/09/2024,"7,734,024,053.00",PT.  Yuniar Hakim Tbk
CN-0328-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,09/09/2023,14/06/2024,"2,237,295,280.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0329-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,09/09/2023,19/12/2023,"4,595,910,673.00",PT C
CN-0330-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,10/09/2023,18/04/2024,"5,159,672,072.00",CV Sihombing
CN-0332-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,12/09/2023,12/06/2024,"4,769,425,566.00",CV Sihombing
CN-0333-2023,Jembatan,Depok,Pembuatan Jembatan Depok,14/09/2023,25/11/2023,"1,336,819,118.00",CV Sihombing
CN-0334-2023,Drainase,Depok,Perbaikan Drainase Depok,15/09/2023,30/08/2024,"471,750,376.00",PT C
CN-0335-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,15/09/2023,09/11/2023,"628,901,605.00",PT C
CN-0336-2023,Jembatan,Medan,Perbaikan Jembatan Medan,16/09/2023,13/12/2023,"1,251,866,235.00",PT A
CN-0337-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,16/09/2023,22/04/2024,"321,020,182.00",PT D
CN-0338-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,17/09/2023,04/07/2024,"4,533,278,952.00",PT.  Yuniar Hakim Tbk
CN-0339-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,18/09/2023,20/07/2024,"4,814,287,975.00",PT.  Yuniar Hakim Tbk
CN-0340-2023,Jembatan,Depok,Perbaikan Jembatan Depok,19/09/2023,06/02/2024,"5,011,848,562.00",PT B
CN-0341-2023,Flyover,Bandung,Pembuatan Flyover Bandung,19/09/2023,13/03/2024,"2,187,444,281.00",CV Sihombing
CN-0342-2023,Jembatan,Jakarta,Perbaikan Jembatan Jakarta,19/09/2023,15/11/2023,"3,086,567,364.00",PT D
CN-0343-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,22/09/2023,24/03/2024,"3,308,514,312.00",PT A
CN-0344-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,23/09/2023,28/08/2024,"283,571,018.00",PT.  Yuniar Hakim Tbk
CN-0345-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,23/09/2023,10/03/2024,"7,071,217,769.00",PT C
CN-0346-2023,Jembatan,Medan,Pembuatan Jembatan Medan,24/09/2023,07/12/2023,"5,103,380,941.00",PT C
CN-0347-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,25/09/2023,12/04/2024,"4,342,819,473.00",PT D
CN-0348-2023,Jembatan,Jakarta,Perbaikan Jembatan Jakarta,25/09/2023,01/11/2023,"6,977,377,591.00",PT B
CN-0349-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,26/09/2023,17/06/2024,"5,457,855,102.00",PT A
CN-0350-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,26/09/2023,29/08/2024,"2,054,160,295.00",CV Sihombing
CN-0351-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,27/09/2023,17/05/2024,"2,343,750,073.00",CV Sihombing
CN-0352-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,28/09/2023,14/05/2024,"1,025,269,810.00",PT C
CN-0353-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,30/09/2023,16/12/2023,"350,434,222.00",PT B
CN-0354-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,02/10/2023,06/05/2024,"497,218,843.00",PT B
CN-0355-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,02/10/2023,26/07/2024,"872,130,533.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0356-2023,Flyover,Depok,Pembuatan Flyover Depok,03/10/2023,14/07/2024,"4,907,012,780.00",CV Sihombing
CN-0357-2023,Flyover,Medan,Pembuatan Flyover Medan,03/10/2023,13/06/2024,"3,253,936,748.00",PT D
CN-0359-2023,Jembatan,Medan,Pembuatan Jembatan Medan,03/10/2023,16/09/2024,"1,635,038,686.00",PT B
CN-0360-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,03/10/2023,28/08/2024,"9,829,087,531.00",PT A
CN-0361-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,03/10/2023,05/04/2024,"1,057,037,862.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0362-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,04/10/2023,25/04/2024,"5,469,982,538.00",CV Sihombing
CN-0363-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,05/10/2023,17/01/2024,"5,055,515,290.00",PT B
CN-0365-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,06/10/2023,02/04/2024,"6,904,869,726.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0367-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,06/10/2023,31/08/2024,"888,436,167.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0368-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,06/10/2023,23/12/2023,"1,354,806,627.00",CV Sihombing
CN-0369-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,07/10/2023,02/01/2024,"984,605,716.00",PT D
CN-0370-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,08/10/2023,03/08/2023,"371,601,786.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0371-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,08/10/2023,14/04/2024,"516,197,294.00",PT A
CN-0372-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,08/10/2023,07/10/2024,"540,697,362.00",PT B
CN-0373-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,09/10/2023,06/04/2024,"6,374,609,108.00",PT A
CN-0374-2023,Jembatan,Surabaya,Perbaikan Jembatan Surabaya,09/10/2023,11/12/2023,"2,805,083,829.00",PT.  Yuniar Hakim Tbk
CN-0375-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,11/10/2023,22/09/2024,"7,779,607,484.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0377-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,15/10/2023,15/07/2024,"909,945,479.00",CV Sihombing
CN-0379-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,18/10/2023,26/06/2024,"320,968,841.00",PT A
CN-0380-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,18/10/2023,20/08/2024,"2,879,285,863.00",PT D
CN-0381-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,20/10/2023,18/10/2024,"4,595,916,165.00",PT C
CN-0382-2023,Jembatan,Surabaya,Perbaikan Jembatan Surabaya,21/10/2023,05/02/2024,"1,299,848,740.00",PT B
CN-0383-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,22/10/2023,16/01/2024,"3,206,827,076.00",PT D
CN-0384-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,23/10/2023,19/02/2024,"559,804,949.00",PT.  Yuniar Hakim Tbk
CN-0386-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,24/10/2023,11/07/2024,"685,929,486.00",PT A
CN-0387-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,26/10/2023,16/09/2024,"2,626,084,542.00",PT.  Yuniar Hakim Tbk
CN-0388-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,27/10/2023,21/04/2024,"893,411,259.00",PT A
CN-0389-2023,Drainase,Medan,Perbaikan Drainase Medan,27/10/2023,24/06/2024,"264,833,844.00",PT A
CN-0390-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,27/10/2023,14/05/2024,"588,269,229.00",PT D
CN-0391-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,28/10/2023,05/07/2024,"691,409,314.00",PT C
CN-0393-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,29/10/2023,11/08/2024,"1,906,777,116.00",CV Sihombing
CN-0395-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,31/10/2023,25/08/2024,"131,415,829.00",PT D
CN-0396-2023,Drainase,Makassar,Perbaikan Drainase Makassar,31/10/2023,19/01/2024,"435,534,089.00",PT B
CN-0397-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,01/11/2023,08/12/2023,"1,107,624,052.00",CV Sihombing
CN-0399-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,01/11/2023,02/10/2024,"2,100,848,894.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0400-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,04/11/2023,26/02/2024,"505,388,172.00",CV Sihombing
CN-0401-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,04/11/2023,14/05/2024,"574,563,455.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0402-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,04/11/2023,04/12/2023,"445,199,395.00",CV Sihombing
CN-0403-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,05/11/2023,22/01/2024,"849,005,913.00",CV Sihombing
CN-0404-2023,Jembatan,Medan,Pembuatan Jembatan Medan,06/11/2023,06/12/2023,"3,098,364,960.00",PT.  Yuniar Hakim Tbk
CN-0405-2023,Flyover,Medan,Perbaikan Flyover Medan,07/11/2023,01/05/2024,"1,607,071,599.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0406-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,10/11/2023,10/03/2023,"2,771,182,474.00",PT D
CN-0407-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,10/11/2023,28/08/2024,"153,884,086.00",PT D
CN-0411-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,10/11/2023,24/02/2024,"1,652,872,648.00",PT D
CN-0412-2023,Jembatan,Depok,Perbaikan Jembatan Depok,11/11/2023,01/08/2024,"7,444,707,554.00",PT.  Yuniar Hakim Tbk
CN-0413-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,11/11/2023,20/01/2023,"308,009,410.00",PT A
CN-0414-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,12/11/2023,27/05/2024,"2,851,933,896.00",PT D
CN-0415-2023,Jembatan,Medan,Pembuatan Jembatan Medan,12/11/2023,21/06/2023,"5,932,217,911.00",CV Sihombing
CN-0416-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,12/11/2023,23/02/2024,"394,459,258.00",PT.  Yuniar Hakim Tbk
CN-0417-2023,Flyover,Jakarta,Perbaikan Flyover Jakarta,12/11/2023,14/01/2024,"3,343,026,784.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0418-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,13/11/2023,31/08/2024,"4,651,361,592.00",PT C
CN-0419-2023,Drainase,Depok,Perbaikan Drainase Depok,15/11/2023,20/10/2024,"287,244,799.00",PT C
CN-0423-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,16/11/2023,07/04/2024,"642,644,763.00",PT D
CN-0424-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,16/11/2023,21/02/2024,"5,716,503,787.00",PT B
