ID_Proyek,Jenis_Proyek,Lokasi,Nama_Proyek,Anggaran,Kontraktor
CN-0251-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"288,462,185.00",PT B
CN-0252-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"706,008,565.00",PT C
CN-0253-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"3,442,468,253.00",PT C
CN-0254-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,"2,233,995,238.00",PT B
CN-0255-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"579,386,663.00",PT B
CN-0256-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"2,892,512,480.00",PT B
CN-0257-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,"1,731,360,253.00",PT.  Yuniar Hakim Tbk
CN-0258-2023,Flyover,Bandung,Pembuatan Flyover Bandung,"4,702,380,798.00",PT C
CN-0259-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,"1,321,857,853.00",CV Sihombing
CN-0260-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"4,256,914,338.00",PT B
CN-0261-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"202,438,902.00",PT C
CN-0262-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"7,153,815,573.00",CV Sihombing
CN-0263-2023,Flyover,Depok,Pembuatan Flyover Depok,"2,210,232,440.00",PT.  Yuniar Hakim Tbk
CN-0264-2023,Jembatan,Medan,Perbaikan Jembatan Medan,"2,045,004,222.00",PT B
CN-0265-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"607,111,213.00",PT.  Yuniar Hakim Tbk
CN-0266-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"378,250,495.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0268-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,"4,178,594,822.00",PT.  Yuniar Hakim Tbk
CN-0269-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,"660,225,526.00",PT C
CN-0270-2023,Jembatan,Depok,Pembuatan Jembatan Depok,"6,255,723,631.00",PT C
CN-0271-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,"1,935,087,556.00",CV Sihombing
CN-0272-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,"6,639,282,641.00",PT A
CN-0273-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"1,341,304,566.00",PT B
CN-0274-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"1,482,129,947.00",PT D
CN-0275-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"5,134,610,940.00",CV Sihombing
CN-0276-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"344,333,067.00",PT C
CN-0277-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,"2,347,619,310.00",PT D
CN-0278-2023,Flyover,Tomohon,Perbaikan Flyover Tomohon,"2,422,397,660.00",PT A
CN-0279-2023,Drainase,Bandung,Perbaikan Drainase Bandung,"593,562,614.00",CV Sihombing
CN-0280-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,"3,507,077,254.00",PT A
CN-0281-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"7,830,031,020.00",PT.  Yuniar Hakim Tbk
CN-0283-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"8,403,683,934.00",PT D
CN-0284-2023,Flyover,Bandung,Perbaikan Flyover Bandung,"4,381,657,926.00",PT.  Yuniar Hakim Tbk
CN-0285-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"1,717,899,076.00",CV Sihombing
CN-0286-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"231,308,784.00",PT C
CN-0287-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"1,694,502,492.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0288-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"6,044,403,214.00",PT C
CN-0290-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"873,718,114.00",CV Sihombing
CN-0291-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"230,467,768.00",PT B
CN-0292-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"688,191,398.00",CV Sihombing
CN-0293-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"2,697,606,072.00",CV Sihombing
CN-0294-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,"990,744,889.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0295-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,"3,212,613,392.00",PT A
CN-0296-2023,Jembatan,Makassar,Pembuatan Jembatan Makassar,"843,044,899.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0298-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"8,993,425,036.00",PT D
CN-0299-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"4,764,842,863.00",PT A
CN-0301-2023,Flyover,Makassar,Pembuatan Flyover Makassar,"2,466,228,274.00",PT.  Yuniar Hakim Tbk
CN-0302-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,"3,270,114,898.00",PT D
CN-0303-2023,Flyover,Depok,Perbaikan Flyover Depok,"2,841,617,618.00",PT D
CN-0307-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"647,397,365.00",PT D
CN-0308-2023,Jembatan,Depok,Perbaikan Jembatan Depok,"775,460,621.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0309-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"7,165,201,683.00",CV Sihombing
CN-0311-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"4,732,793,482.00",PT B
CN-0312-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"2,993,133,974.00",PT B
CN-0313-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,"4,720,470,438.00",PT C
CN-0314-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"3,999,421,618.00",PT B
CN-0315-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,"1,118,159,098.00",PT A
CN-0317-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"246,997,207.00",PT D
CN-0318-2023,Flyover,Bandung,Perbaikan Flyover Bandung,"4,163,473,786.00",PT C
CN-0319-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,"2,007,900,262.00",PT.  Yuniar Hakim Tbk
CN-0320-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,"9,921,498,760.00",PT D
CN-0321-2023,Flyover,Bandung,Perbaikan Flyover Bandung,"2,562,733,310.00",PT B
CN-0322-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"894,294,565.00",PT D
CN-0323-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,"661,378,979.00",PT.  Yuniar Hakim Tbk
CN-0325-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"609,956,841.00",PT B
CN-0326-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"4,372,183,615.00",PT D
CN-0327-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"7,734,024,053.00",PT.  Yuniar Hakim Tbk
CN-0328-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,"2,237,295,280.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0329-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,"4,595,910,673.00",PT C
CN-0330-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,"5,159,672,072.00",CV Sihombing
CN-0332-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,"4,769,425,566.00",CV Sihombing
CN-0333-2023,Jembatan,Depok,Pembuatan Jembatan Depok,"1,336,819,118.00",CV Sihombing
CN-0334-2023,Drainase,Depok,Perbaikan Drainase Depok,"471,750,376.00",PT C
CN-0335-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,"628,901,605.00",PT C
CN-0336-2023,Jembatan,Medan,Perbaikan Jembatan Medan,"1,251,866,235.00",PT A
CN-0337-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,"321,020,182.00",PT D
CN-0338-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,"4,533,278,952.00",PT.  Yuniar Hakim Tbk
CN-0339-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"4,814,287,975.00",PT.  Yuniar Hakim Tbk
CN-0340-2023,Jembatan,Depok,Perbaikan Jembatan Depok,"5,011,848,562.00",PT B
CN-0341-2023,Flyover,Bandung,Pembuatan Flyover Bandung,"2,187,444,281.00",CV Sihombing
CN-0342-2023,Jembatan,Jakarta,Perbaikan Jembatan Jakarta,"3,086,567,364.00",PT D
CN-0343-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"3,308,514,312.00",PT A
CN-0344-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"283,571,018.00",PT.  Yuniar Hakim Tbk
CN-0345-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"7,071,217,769.00",PT C
CN-0346-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"5,103,380,941.00",PT C
CN-0347-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"4,342,819,473.00",PT D
CN-0348-2023,Jembatan,Jakarta,Perbaikan Jembatan Jakarta,"6,977,377,591.00",PT B
CN-0349-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,"5,457,855,102.00",PT A
CN-0350-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,"2,054,160,295.00",CV Sihombing
CN-0351-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"2,343,750,073.00",CV Sihombing
CN-0352-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,"1,025,269,810.00",PT C
CN-0353-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"350,434,222.00",PT B
CN-0354-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"497,218,843.00",PT B
CN-0355-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"872,130,533.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0356-2023,Flyover,Depok,Pembuatan Flyover Depok,"4,907,012,780.00",CV Sihombing
CN-0357-2023,Flyover,Medan,Pembuatan Flyover Medan,"3,253,936,748.00",PT D
CN-0359-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"1,635,038,686.00",PT B
CN-0360-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"9,829,087,531.00",PT A
CN-0361-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"1,057,037,862.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0362-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,"5,469,982,538.00",CV Sihombing
CN-0363-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,"5,055,515,290.00",PT B
CN-0365-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,"6,904,869,726.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0367-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"888,436,167.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0368-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"1,354,806,627.00",CV Sihombing
CN-0369-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,"984,605,716.00",PT D
CN-0370-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"371,601,786.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0371-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"516,197,294.00",PT A
CN-0372-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"540,697,362.00",PT B
CN-0373-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"6,374,609,108.00",PT A
CN-0374-2023,Jembatan,Surabaya,Perbaikan Jembatan Surabaya,"2,805,083,829.00",PT.  Yuniar Hakim Tbk
CN-0375-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"7,779,607,484.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0377-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"909,945,479.00",CV Sihombing
CN-0379-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"320,968,841.00",PT A
CN-0380-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,"2,879,285,863.00",PT D
CN-0381-2023,Flyover,Tomohon,Pembuatan Flyover Tomohon,"4,595,916,165.00",PT C
CN-0382-2023,Jembatan,Surabaya,Perbaikan Jembatan Surabaya,"1,299,848,740.00",PT B
CN-0383-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"3,206,827,076.00",PT D
CN-0384-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"559,804,949.00",PT.  Yuniar Hakim Tbk
CN-0386-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,"685,929,486.00",PT A
CN-0387-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"2,626,084,542.00",PT.  Yuniar Hakim Tbk
CN-0388-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"893,411,259.00",PT A
CN-0389-2023,Drainase,Medan,Perbaikan Drainase Medan,"264,833,844.00",PT A
CN-0390-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"588,269,229.00",PT D
CN-0391-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"691,409,314.00",PT C
CN-0393-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,"1,906,777,116.00",CV Sihombing
CN-0395-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"131,415,829.00",PT D
CN-0396-2023,Drainase,Makassar,Perbaikan Drainase Makassar,"435,534,089.00",PT B
CN-0397-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"1,107,624,052.00",CV Sihombing
CN-0399-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"2,100,848,894.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0400-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"505,388,172.00",CV Sihombing
CN-0401-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,"574,563,455.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0402-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"445,199,395.00",CV Sihombing
CN-0403-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,"849,005,913.00",CV Sihombing
CN-0404-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"3,098,364,960.00",PT.  Yuniar Hakim Tbk
CN-0405-2023,Flyover,Medan,Perbaikan Flyover Medan,"1,607,071,599.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0406-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,"2,771,182,474.00",PT D
CN-0407-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"153,884,086.00",PT D
CN-0411-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"1,652,872,648.00",PT D
CN-0412-2023,Jembatan,Depok,Perbaikan Jembatan Depok,"7,444,707,554.00",PT.  Yuniar Hakim Tbk
CN-0413-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"308,009,410.00",PT A
CN-0414-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,"2,851,933,896.00",PT D
CN-0415-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"5,932,217,911.00",CV Sihombing
CN-0416-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"394,459,258.00",PT.  Yuniar Hakim Tbk
CN-0417-2023,Flyover,Jakarta,Perbaikan Flyover Jakarta,"3,343,026,784.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0418-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,"4,651,361,592.00",PT C
CN-0419-2023,Drainase,Depok,Perbaikan Drainase Depok,"287,244,799.00",PT C
CN-0423-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"642,644,763.00",PT D
CN-0424-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,"5,716,503,787.00",PT B
CN-0425-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"537,845,909.00",PT D
CN-0426-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"800,732,653.00",PT C
CN-0427-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,"676,299,944.00",PT D
CN-0428-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"5,621,717,823.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0429-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"1,652,704,535.00",CV Sihombing
CN-0430-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,"2,696,276,120.00",PT A
CN-0431-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"344,399,927.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0432-2023,Drainase,Depok,Perbaikan Drainase Depok,"624,334,418.00",PT D
CN-0433-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,"7,036,506,058.00",PT D
CN-0436-2023,Jembatan,Depok,Perbaikan Jembatan Depok,"5,694,242,987.00",PT.  Yuniar Hakim Tbk
CN-0438-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"449,824,902.00",PT D
CN-0439-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"687,256,096.00",PT A
CN-0440-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"529,398,283.00",PT B
CN-0441-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"4,710,182,773.00",PT.  Yuniar Hakim Tbk
CN-0442-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"744,960,204.00",CV Sihombing
CN-0444-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,"3,574,507,730.00",PT B
CN-0445-2023,Flyover,Depok,Pembuatan Flyover Depok,"2,640,159,197.00",PT D
CN-0446-2023,Jembatan,Jakarta,Perbaikan Jembatan Jakarta,"857,010,798.00",PT.  Yuniar Hakim Tbk
CN-0447-2023,Flyover,Makassar,Pembuatan Flyover Makassar,"3,902,836,313.00",PT.  Yuniar Hakim Tbk
CN-0448-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,"313,061,138.00",PT A
CN-0449-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,"3,704,994,376.00",PT D
CN-0450-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,"6,935,528,254.00",CV Sihombing
CN-0451-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,"1,827,330,534.00",PT C
CN-0452-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"643,095,755.00",PT B
CN-0453-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,"195,287,277.00",PT B
CN-0454-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"6,786,324,237.00",PT.  Yuniar Hakim Tbk
CN-0455-2023,Drainase,Bandung,Perbaikan Drainase Bandung,"499,105,719.00",CV Sihombing
CN-0456-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"461,111,964.00",CV Sihombing
CN-0457-2023,Flyover,Tomohon,Perbaikan Flyover Tomohon,"3,310,535,255.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0458-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,"1,639,451,183.00",PT D
CN-0459-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,"2,042,593,058.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0460-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,"2,438,226,800.00",PT D
CN-0463-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"633,299,430.00",PT.  Yuniar Hakim Tbk
CN-0464-2023,Drainase,Depok,Perbaikan Drainase Depok,"518,578,528.00",PT.  Yuniar Hakim Tbk
CN-0465-2023,Flyover,Makassar,Pembuatan Flyover Makassar,"2,716,743,578.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0466-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"3,558,366,170.00",PT B
CN-0467-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,"3,504,700,319.00",PT A
CN-0468-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"8,473,123,375.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0470-2023,Flyover,Makassar,Perbaikan Flyover Makassar,"3,697,961,455.00",PT D
CN-0471-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"9,185,210,892.00",PT.  Yuniar Hakim Tbk
CN-0472-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"577,434,070.00",PT D
CN-0473-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,"9,221,677,626.00",PT.  Yuniar Hakim Tbk
CN-0474-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,"4,616,485,762.00",CV Sihombing
CN-0476-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"419,613,481.00",PT D
CN-0477-2023,Drainase,Bandung,Perbaikan Drainase Bandung,"271,658,499.00",PT A
CN-0478-2023,Flyover,Makassar,Pembuatan Flyover Makassar,"3,282,339,654.00",PT B
CN-0479-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"2,974,669,932.00",PT B
